Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time,Capacity,TTD,SOC,Voltage,Start_time
3.798668839,-2.006846693,27.03441105,1.9988,2.883,358.063,1.855004521,3076.828,0.902805542,3.804642131,3434.891
3.796115903,-2.00706394,27.10905849,1.9988,2.881,367.422,1.855004521,3067.469,0.902117492,3.802588771,3434.891
3.793544934,-2.007579543,27.18657522,1.9988,2.879,376.828,1.855004521,3058.063,0.901386472,3.80044887,3434.891
3.791214855,-2.010957278,27.27240865,1.9988,2.876,386.235,1.855004521,3048.656,0.900615602,3.798240021,3434.891
3.788686161,-2.011269937,27.33868609,1.9988,2.874,395.625,1.855004521,3039.266,0.899827353,3.796149105,3434.891
3.786469595,-2.009309622,27.43048021,1.999,2.872,405.047,1.855004521,3029.844,0.898997992,3.79399965,3434.891
3.784127501,-2.005830238,27.5062934,1.9988,2.87,414.469,1.855004521,3020.422,0.898155699,3.791969698,3434.891
3.781509452,-2.01089346,27.57681609,1.9988,2.868,423.86,1.855004521,3011.031,0.897282045,3.789850101,3434.891
3.779149092,-2.008705069,27.65153058,1.9988,2.865,433.266,1.855004521,3001.625,0.896359875,3.787618783,3434.891
3.776945903,-2.006782696,27.72272911,1.9988,2.863,442.625,1.855004521,2992.266,0.895418517,3.78544125,3434.891
3.774414341,-2.011238568,27.79898781,1.999,2.861,452.125,1.855004521,2982.766,0.894467694,3.783338383,3434.891
3.772024659,-2.010285745,27.86206101,1.9988,2.859,461.5,1.855004521,2973.391,0.893473927,3.781116156,3434.891
3.769604524,-2.012800827,27.93889058,1.9988,2.857,470.86,1.855004521,2964.031,0.892458091,3.778893024,3434.891
3.767357887,-2.011042371,28.01432573,1.9988,2.855,480.219,1.855004521,2954.672,0.891417838,3.776677548,3434.891
3.76511344,-2.008538548,28.07446135,1.9988,2.853,489.641,1.855004521,2945.25,0.890368149,3.774532907,3434.891
3.762686464,-2.008875357,28.13297985,1.999,2.851,499,1.855004521,2935.891,0.889304319,3.772401258,3434.891
3.760322379,-2.008295439,28.20730451,1.9988,2.848,508.391,1.855004521,2926.5,0.888209148,3.770194078,3434.891
3.75800132,-2.008843766,28.26984759,1.9988,2.846,517.735,1.855004521,2917.156,0.887094025,3.767957629,3434.891
3.755800735,-2.008770009,28.32789109,1.9988,2.843,527.078,1.855004521,2907.813,0.885965722,3.765744202,3434.891
3.753272934,-2.007616646,28.38849918,1.9988,2.842,536.422,1.855004521,2898.469,0.884833832,3.763613009,3434.891
3.751067595,-2.008296868,28.45673723,1.9988,2.839,545.813,1.855004521,2889.078,0.883662828,3.76130367,3434.891
3.748847472,-2.009536161,28.51536111,1.9988,2.837,555.188,1.855004521,2879.703,0.882496088,3.759108208,3434.891
3.746398749,-2.008322899,28.57302454,1.9988,2.835,564.547,1.855004521,2870.344,0.881324058,3.756965086,3434.891
3.744251199,-2.008192795,28.63702103,1.9988,2.833,573.938,1.855004521,2860.953,0.880122044,3.754689978,3434.891
3.741884291,-2.009257903,28.68976213,1.9988,2.831,583.313,1.855004521,2851.578,0.87892844,3.75252716,3434.891
3.739740343,-2.010078642,28.74564717,1.9988,2.829,592.688,1.855004521,2842.203,0.877714703,3.750291063,3434.891
3.737619897,-2.01030478,28.78911905,1.9988,2.826,602.047,1.855004521,2832.844,0.876507477,3.748148069,3434.891
3.735312688,-2.008867672,28.8283431,1.9988,2.824,611.469,1.855004521,2823.422,0.875301748,3.746062708,3434.891
3.733076752,-2.009684358,28.8796112,1.9988,2.822,620.906,1.855004521,2813.985,0.874075807,3.743877008,3434.891
3.730963415,-2.009462246,28.9307826,1.999,2.819,630.281,1.855004521,2804.61,0.872844593,3.741702629,3434.891
3.728851851,-2.00905052,28.98415028,1.999,2.817,639.641,1.855004521,2795.25,0.871619054,3.739600352,3434.891
3.726625336,-2.009272568,29.0273792,1.999,2.815,649.016,1.855004521,2785.875,0.870393596,3.737512563,3434.891
3.724446176,-2.006641374,29.05704606,1.999,2.813,658.406,1.855004521,2776.485,0.869156604,3.73537674,3434.891
3.722348619,-2.01089856,29.09868869,1.9988,2.811,667.781,1.855004521,2767.11,0.867917097,3.733215552,3434.891
3.720164542,-2.008184208,29.14657734,1.9988,2.809,677.172,1.855004521,2757.719,0.866684442,3.731158409,3434.891
3.717991828,-2.007581084,29.16863197,1.9988,2.807,686.516,1.855004521,2748.375,0.865442698,3.72902288,3434.891
3.715942995,-2.009654615,29.20576859,1.999,2.805,695.922,1.855004521,2738.969,0.864199792,3.726885809,3434.891
3.714094092,-2.00742784,29.2470036,1.9988,2.804,705.313,1.855004521,2729.578,0.862967111,3.724848825,3434.891
3.711732781,-2.007585389,29.2795143,1.999,2.801,714.735,1.855004521,2720.156,0.861754587,3.722925475,3434.891
3.709805582,-2.010717787,29.30446846,1.9988,2.8,724.141,1.855004521,2710.75,0.860505886,3.72073926,3434.891
3.70741418,-2.009845043,29.33741543,1.9988,2.797,733.5,1.855004521,2701.391,0.85928294,3.718753917,3434.891
3.705499099,-2.007489421,29.37083014,1.9988,2.795,742.891,1.855004521,2692,0.858027314,3.716554143,3434.891
3.703487874,-2.009140358,29.39435708,1.999,2.793,752.281,1.855004521,2682.61,0.85680087,3.714519261,3434.891
3.701370267,-2.005761701,29.41708773,1.999,2.792,761.656,1.855004521,2673.235,0.855580204,3.712540068,3434.891
3.699359489,-2.010550034,29.45080285,1.999,2.789,771.031,1.855004521,2663.86,0.85435167,3.710461142,3434.891
3.697341128,-2.009158995,29.48168069,1.999,2.788,780.422,1.855004521,2654.469,0.85313269,3.7084687,3434.891
3.695216695,-2.009883887,29.49615621,1.9988,2.786,789.844,1.855004521,2645.047,0.85191581,3.706455518,3434.891
3.693207516,-2.011206404,29.52242392,1.999,2.784,799.25,1.855004521,2635.641,0.850693478,3.704396874,3434.891
3.69139262,-2.010110342,29.54834016,1.999,2.781,808.656,1.855004521,2626.235,0.849479873,3.702396155,3434.891
3.689321103,-2.007412804,29.56229771,1.999,2.78,818.031,1.855004521,2616.86,0.848287008,3.700520663,3434.891
3.686985379,-2.008381223,29.58174894,1.999,2.778,827.438,1.855004521,2607.453,0.847081879,3.698526934,3434.891
3.685117855,-2.010755854,29.60640395,1.9988,2.776,836.781,1.855004521,2598.11,0.845852237,3.696343457,3434.891
3.68327627,-2.008706217,29.62466336,1.9988,2.774,846.188,1.855004521,2588.703,0.844654882,3.694384274,3434.891
3.681183593,-2.008257943,29.65759824,1.999,2.772,855.641,1.855004521,2579.25,0.843472286,3.692510038,3434.891
3.679167491,-2.010756117,29.67546456,1.999,2.77,865.031,1.855004521,2569.86,0.842275764,3.690494761,3434.891
3.677153126,-2.00860058,29.6943318,1.9988,2.768,874.453,1.855004521,2560.438,0.841084217,3.688518007,3434.891
3.675192,-2.007897885,29.70919092,1.999,2.766,883.828,1.855004521,2551.063,0.839894984,3.686524973,3434.891
3.673116533,-2.008403721,29.73286709,1.999,2.764,893.219,1.855004521,2541.672,0.83871373,3.684565969,3434.891
3.671041686,-2.008565838,29.75473831,1.9988,2.763,902.578,1.855004521,2532.313,0.837527873,3.682553693,3434.891
3.669295776,-2.009166872,29.78813919,1.9988,2.76,911.953,1.855004521,2522.938,0.836342436,3.680526485,3434.891
3.667368372,-2.009324456,29.80491721,1.999,2.759,921.328,1.855004521,2513.563,0.83518546,3.678672392,3434.891
3.665349341,-2.009306035,29.83438953,1.999,2.757,930.813,1.855004521,2504.078,0.834026699,3.676795612,3434.891
3.663449927,-2.00876986,29.86325159,1.999,2.754,940.188,1.855004521,2494.703,0.83286149,3.674850367,3434.891
3.661480636,-2.008750481,29.88055704,1.999,2.753,949.578,1.855004521,2485.313,0.831705737,3.672937182,3434.891
3.659572599,-2.007145117,29.8959771,1.999,2.751,958.953,1.855004521,2475.938,0.830550651,3.671011716,3434.891
3.65762586,-2.009998439,29.92463327,1.999,2.749,968.313,1.855004521,2466.578,0.829402545,3.669098253,3434.891
3.655757817,-2.010467995,29.94121006,1.9988,2.747,977.703,1.855004521,2457.188,0.828256601,3.667182817,3434.891
3.653999559,-2.008583629,29.9685721,1.9988,2.745,987.063,1.855004521,2447.828,0.827119618,3.665327888,3434.891
3.651979022,-2.010978394,30.00510009,1.999,2.743,996.391,1.855004521,2438.5,0.825995289,3.663528072,3434.891
3.65007824,-2.008534622,30.02406195,1.9988,2.741,1005.797,1.855004521,2429.094,0.824857969,3.661622461,3434.891
3.648215431,-2.010036939,30.0346624,1.999,2.74,1015.156,1.855004521,2419.735,0.823727379,3.659711101,3434.891
3.646509402,-2.009962424,30.06458474,1.999,2.738,1024.516,1.855004521,2410.375,0.822605671,3.657862882,3434.891
3.644613624,-2.011121902,30.09706736,1.999,2.736,1033.891,1.855004521,2401,0.821499618,3.65610688,3434.891
3.642608124,-2.00836535,30.13317071,1.999,2.735,1043.266,1.855004521,2391.625,0.820386828,3.654301168,3434.891
3.640871999,-2.009410537,30.15257187,1.999,2.733,1052.641,1.855004521,2382.25,0.819264757,3.65236414,3434.891
3.63899384,-2.009770672,30.18026772,1.9988,2.731,1062.031,1.855004521,2372.86,0.818163926,3.650569502,3434.891
3.637067955,-2.009142275,30.21434823,1.9988,2.729,1071.375,1.855004521,2363.516,0.817060903,3.64874779,3434.891
3.635442865,-2.010294156,30.24640272,1.999,2.727,1080.781,1.855004521,2354.11,0.81595536,3.646870039,3434.891
3.633526766,-2.007970042,30.26596286,1.999,2.725,1090.266,1.855004521,2344.625,0.814873839,3.645163133,3434.891
3.631700333,-2.010204789,30.29317483,1.999,2.723,1099.672,1.855004521,2335.219,0.813780567,3.643329079,3434.891
3.62992899,-2.011212509,30.31594493,1.999,2.722,1109.156,1.855004521,2325.735,0.812693205,3.641513941,3434.891
3.628131902,-2.008685314,30.3523824,1.9988,2.72,1118.516,1.855004521,2316.375,0.811613774,3.639761226,3434.891
3.626152176,-2.008723679,30.36939723,1.9988,2.719,1127.906,1.855004521,2306.985,0.810535745,3.637973385,3434.891
3.624365777,-2.00912889,30.40185758,1.999,2.717,1137.328,1.855004521,2297.563,0.809448661,3.636096775,3434.891
3.62276294,-2.010652515,30.42322908,1.9988,2.715,1146.735,1.855004521,2288.156,0.808373886,3.634278765,3434.891
3.620910622,-2.008350502,30.4529348,1.9988,2.713,1156.11,1.855004521,2278.781,0.80731832,3.632624328,3434.891
3.619174564,-2.006956598,30.4826829,1.999,2.711,1165.578,1.855004521,2269.313,0.806251717,3.630862911,3434.891
3.617432164,-2.006321332,30.51255919,1.999,2.709,1174.985,1.855004521,2259.906,0.805192226,3.629128309,3434.891
3.61542631,-2.0081774,30.53474821,1.999,2.708,1184.485,1.855004521,2250.406,0.804136509,3.627387567,3434.891
3.613984382,-2.007921215,30.55756309,1.999,2.706,1193.875,1.855004521,2241.016,0.803066405,3.62551768,3434.891
3.612060553,-2.009721629,30.58677924,1.999,2.705,1203.281,1.855004521,2231.61,0.802032054,3.623909323,3434.891
3.610323442,-2.009566739,30.6230287,1.999,2.703,1212.672,1.855004521,2222.219,0.800977124,3.622141959,3434.891
3.608603688,-2.009487277,30.64338456,1.999,2.701,1222.078,1.855004521,2212.813,0.799929978,3.620398655,3434.891
3.606930483,-2.010439995,30.68672659,1.999,2.699,1231.516,1.855004521,2203.375,0.79888864,3.618693917,3434.891
3.605104156,-2.007674424,30.70597044,1.999,2.697,1240.906,1.855004521,2193.985,0.797853061,3.617024448,3434.891
3.603440626,-2.00706122,30.7336035,1.999,2.696,1250.297,1.855004521,2184.594,0.796810805,3.615273796,3434.891
3.60190108,-2.009724958,30.75845713,1.999,2.694,1259.672,1.855004521,2175.219,0.795779406,3.613573527,3434.891
3.599944475,-2.006223185,30.77598941,1.999,2.693,1269.063,1.855004521,2165.828,0.794761672,3.612003942,3434.891
3.597980725,-2.009543512,30.81205898,1.999,2.691,1278.406,1.855004521,2156.485,0.793720907,3.610202479,3434.891
3.596586673,-2.01062804,30.84241198,1.9988,2.689,1287.781,1.855004521,2147.11,0.792675576,3.608332028,3434.891
3.594792782,-2.008253249,30.86616788,1.999,2.687,1297.188,1.855004521,2137.703,0.791667165,3.606769444,3434.891
3.593295061,-2.007065783,30.90395707,1.999,2.686,1306.641,1.855004521,2128.25,0.790644078,3.605087924,3434.891
3.591387598,-2.010264491,30.93757498,1.999,2.684,1316.047,1.855004521,2118.844,0.789637479,3.603505728,3434.891
3.589632546,-2.010241348,30.96362231,1.999,2.683,1325.438,1.855004521,2109.453,0.788611467,3.601756662,3434.891
3.588072349,-2.009974536,30.98571433,1.999,2.681,1334.797,1.855004521,2100.094,0.787590983,3.600020444,3434.891
3.586345776,-2.008904895,31.01251836,1.9988,2.679,1344.235,1.855004521,2090.656,0.786585871,3.598409595,3434.891
3.584817345,-2.008842278,31.03758016,1.999,2.677,1353.641,1.855004521,2081.25,0.785575414,3.59673979,3434.891
3.583195787,-2.007230171,31.06777405,1.999,2.676,1363.016,1.855004521,2071.875,0.784577739,3.59517685,3434.891
3.581482554,-2.008707095,31.08681637,1.999,2.674,1372.438,1.855004521,2062.453,0.783578555,3.593571689,3434.891
3.579865434,-2.009601827,31.1228218,1.999,2.673,1381.86,1.855004521,2053.031,0.782575604,3.591929866,3434.891
3.578123906,-2.009200716,31.13802719,1.999,2.671,1391.25,1.855004521,2043.641,0.781578122,3.590310035,3434.891
3.576591385,-2.008948841,31.18532153,1.999,2.669,1400.703,1.855004521,2034.188,0.780576118,3.588652977,3434.891
3.574987978,-2.006657137,31.20826707,1.9988,2.668,1410.094,1.855004521,2024.797,0.779585887,3.587078008,3434.891
3.57322033,-2.007839533,31.2323387,1.999,2.666,1419.469,1.855004521,2015.422,0.778596172,3.585485292,3434.891
3.571814895,-2.007236365,31.26957012,1.999,2.665,1428.828,1.855004521,2006.063,0.777598291,3.583820759,3434.891
3.570197341,-2.01008036,31.28496802,1.9988,2.663,1438.219,1.855004521,1996.672,0.776620714,3.582293575,3434.891
3.568499837,-2.010369317,31.31459927,1.999,2.662,1447.578,1.855004521,1987.313,0.775637978,3.58074461,3434.891
3.56704322,-2.008730446,31.32694612,1.999,2.66,1456.938,1.855004521,1977.953,0.774649068,3.579120203,3434.891
3.565272241,-2.007228223,31.35703797,1.9988,2.658,1466.281,1.855004521,1968.61,0.773674538,3.577618017,3434.891
3.563770738,-2.006197323,31.37971996,1.999,2.657,1475.641,1.855004521,1959.25,0.772685212,3.57596575,3434.891
3.56215689,-2.008969002,31.41026282,1.999,2.656,1485.063,1.855004521,1949.828,0.771709674,3.574405048,3434.891
3.560729839,-2.007489797,31.43230163,1.999,2.654,1494.422,1.855004521,1940.469,0.770732143,3.572839569,3434.891
3.558969773,-2.008160035,31.4605033,1.999,2.652,1503.797,1.855004521,1931.094,0.769765701,3.571362045,3434.891
3.557468349,-2.010564162,31.48770996,1.999,2.651,1513.188,1.855004521,1921.703,0.768783322,3.569723782,3434.891
3.555970318,-2.006419375,31.50617555,1.999,2.649,1522.641,1.855004521,1912.25,0.767813294,3.568202269,3434.891
3.554518339,-2.009067482,31.53503733,1.999,2.648,1532.031,1.855004521,1902.86,0.766846739,3.566682941,3434.891
3.553122843,-2.008942576,31.56132091,1.999,2.646,1541.344,1.855004521,1893.547,0.765885567,3.565222961,3434.891
3.5514187,-2.007742623,31.58411384,1.999,2.644,1550.781,1.855004521,1884.11,0.764929635,3.563811521,3434.891
3.550160306,-2.008247235,31.60876868,1.999,2.643,1560.188,1.855004521,1874.703,0.763957881,3.562232537,3434.891
3.548440356,-2.008266071,31.62190892,1.999,2.642,1569.563,1.855004521,1865.328,0.763009307,3.560846564,3434.891
3.547044115,-2.011245585,31.65302765,1.999,2.64,1579.016,1.855004521,1855.875,0.76204087,3.559272481,3434.891
3.545724295,-2.009047077,31.67160956,1.999,2.639,1588.422,1.855004521,1846.469,0.761086789,3.557828162,3434.891
3.544204516,-2.011064589,31.70017137,1.999,2.638,1597.828,1.855004521,1837.063,0.760141119,3.556453005,3434.891
3.542703601,-2.010952525,31.72491465,1.999,2.636,1607.235,1.855004521,1827.656,0.759187152,3.555007266,3434.891
3.541266306,-2.010591828,31.74869071,1.999,2.634,1616.61,1.855004521,1818.281,0.758232665,3.553539366,3434.891
3.539847608,-2.008942559,31.77933024,1.999,2.633,1626.016,1.855004521,1808.875,0.757282383,3.552109017,3434.891
3.538386651,-2.007970596,31.80013523,1.999,2.632,1635.438,1.855004521,1799.453,0.756334471,3.550685968,3434.891
3.537132783,-2.008224042,31.82082494,1.999,2.63,1644.844,1.855004521,1790.047,0.755385872,3.549244627,3434.891
3.535525295,-2.008270987,31.85094124,1.999,2.629,1654.235,1.855004521,1780.656,0.754449735,3.547927467,3434.891
3.534341331,-2.010771173,31.87223362,1.999,2.628,1663.641,1.855004521,1771.25,0.753496772,3.546432217,3434.891
3.532906012,-2.009520671,31.89308544,1.999,2.626,1673.078,1.855004521,1761.813,0.752564792,3.545143184,3434.891
3.531716611,-2.00890977,31.91216871,1.999,2.625,1682.485,1.855004521,1752.406,0.751623774,3.543770622,3434.891
3.53026759,-2.009533132,31.946116,1.999,2.623,1691.844,1.855004521,1743.047,0.750695168,3.542515427,3434.891
3.529115721,-2.009785636,31.96974033,1.999,2.622,1701.25,1.855004521,1733.641,0.749755164,3.541147274,3434.891
3.527613618,-2.008056511,31.99661187,1.999,2.621,1710.656,1.855004521,1724.235,0.748829812,3.539922222,3434.891
3.526251919,-2.011033414,32.02239762,1.999,2.62,1720.016,1.855004521,1714.875,0.747888443,3.538520229,3434.891
3.52479655,-2.010023427,32.03343847,1.999,2.618,1729.422,1.855004521,1705.469,0.746951944,3.537157874,3434.891
3.523634093,-2.01087942,32.05136922,1.999,2.617,1738.875,1.855004521,1696.016,0.746011482,3.535746236,3434.891
3.522232906,-2.009592027,32.07492865,1.9988,2.616,1748.297,1.855004521,1686.594,0.745086694,3.534500633,3434.891
3.520883985,-2.008796641,32.09590964,1.999,2.614,1757.656,1.855004521,1677.235,0.744152242,3.533165948,3434.891
3.519652256,-2.008381737,32.12341604,1.9988,2.613,1767.016,1.855004521,1667.875,0.743218648,3.531833086,3434.891
3.518442832,-2.010278043,32.14619758,1.999,2.612,1776.36,1.855004521,1658.531,0.742291812,3.530553933,3434.891
3.517145674,-2.010141509,32.15308223,1.999,2.611,1785.781,1.855004521,1649.11,0.741368543,3.529318968,3434.891
3.515976876,-2.008593935,32.17969898,1.999,2.61,1795.203,1.855004521,1639.688,0.740441631,3.528069915,3434.891
3.514601913,-2.00746918,32.20239528,1.999,2.608,1804.625,1.855004521,1630.266,0.73952024,3.526868705,3434.891
3.513551057,-2.007992802,32.23357083,1.999,2.607,1814.016,1.855004521,1620.875,0.738589083,3.525569146,3434.891
3.512325787,-2.007310291,32.25556506,1.999,2.606,1823.375,1.855004521,1611.516,0.737673451,3.524420199,3434.891
3.511128136,-2.009906977,32.26309704,1.999,2.604,1832.75,1.855004521,1602.141,0.736752301,3.523206775,3434.891
3.509827038,-2.006888042,32.30305747,1.999,2.604,1842.156,1.855004521,1592.735,0.735832164,3.522048954,3434.891
3.508797443,-2.008532,32.32302041,1.999,2.602,1851.531,1.855004521,1583.36,0.734904538,3.520780795,3434.891
3.507486015,-2.008994631,32.33805824,1.999,2.601,1860.922,1.855004521,1573.969,0.733991338,3.519658999,3434.891
3.506432522,-2.012995082,32.36973881,1.999,2.6,1870.375,1.855004521,1564.516,0.733066026,3.518424504,3434.891
3.505228743,-2.006357093,32.39063012,1.9988,2.599,1879.766,1.855004521,1555.125,0.732151513,3.517337072,3434.891
3.504071028,-2.00736303,32.41806411,1.999,2.598,1889.172,1.855004521,1545.719,0.731230249,3.516157712,3434.891
3.503016784,-2.007744144,32.43231048,1.999,2.596,1898.594,1.855004521,1536.297,0.730310539,3.514989713,3434.891
3.501889992,-2.007926936,32.44086285,1.999,2.596,1908.047,1.855004521,1526.844,0.729397062,3.513888851,3434.891
3.500847416,-2.011101469,32.45430036,1.999,2.594,1917.438,1.855004521,1517.453,0.728481112,3.512765302,3434.891
3.499789876,-2.009376385,32.47893854,1.999,2.593,1926.797,1.855004521,1508.094,0.727569089,3.511717496,3434.891
3.498766476,-2.009514756,32.49849673,1.999,2.592,1936.141,1.855004521,1498.75,0.726655908,3.510654496,3434.891
3.497603985,-2.008403194,32.51363854,1.999,2.591,1945.547,1.855004521,1489.344,0.725744513,3.509618152,3434.891
3.496410052,-2.008889751,32.54044479,1.999,2.59,1954.922,1.855004521,1479.969,0.72482547,3.508510151,3434.891
3.495314841,-2.010204793,32.5711308,1.999,2.589,1964.328,1.855004521,1470.563,0.72390194,3.507354902,3434.891
3.494204849,-2.009257462,32.59316062,1.999,2.588,1973.875,1.855004521,1461.016,0.722982044,3.506243602,3434.891
3.493026999,-2.009255341,32.61489468,1.999,2.587,1983.235,1.855004521,1451.656,0.72206167,3.505133193,3434.891
3.492034254,-2.009999306,32.63865804,1.999,2.586,1992.735,1.855004521,1442.156,0.721136877,3.503985828,3434.891
3.490872154,-2.008154037,32.65056284,1.999,2.585,2002.125,1.855004521,1432.766,0.720220575,3.502936624,3434.891
3.490004545,-2.00763041,32.6746274,1.999,2.584,2011.531,1.855004521,1423.36,0.719296534,3.501826171,3434.891
3.489110027,-2.007405594,32.70186689,1.999,2.583,2020.922,1.855004521,1413.969,0.71838607,3.500862094,3434.891
3.487886538,-2.008607721,32.7215261,1.999,2.582,2030.406,1.855004521,1404.485,0.717477296,3.499927488,3434.891
3.486994578,-2.008513438,32.73669692,1.999,2.581,2039.813,1.855004521,1395.078,0.716550231,3.498825578,3434.891
3.485701218,-2.008305677,32.74783767,1.999,2.58,2049.188,1.855004521,1385.703,0.715635965,3.49784837,3434.891
3.484724348,-2.008044276,32.77683558,1.999,2.579,2058.578,1.855004521,1376.313,0.714701925,3.496698762,3434.891
3.483891862,-2.008116417,32.81453467,1.999,2.578,2068.031,1.855004521,1366.86,0.713778654,3.495663511,3434.891
3.482701358,-2.008587106,32.83023641,1.999,2.576,2077.391,1.855004521,1357.5,0.712865396,3.494732966,3434.891
3.481639357,-2.010140493,32.85516733,1.999,2.576,2086.75,1.855004521,1348.141,0.711934791,3.493650546,3434.891
3.480683703,-2.007849375,32.86724463,1.999,2.574,2096.141,1.855004521,1338.75,0.711005435,3.492590489,3434.891
3.479721949,-2.010041863,32.88768345,1.999,2.574,2105.531,1.855004521,1329.36,0.710081566,3.491582049,3434.891
3.47881852,-2.010083091,32.91944474,1.999,2.572,2114.953,1.855004521,1319.938,0.709158429,3.490616931,3434.891
3.477728217,-2.007386461,32.9358147,1.999,2.572,2124.391,1.855004521,1310.5,0.708237273,3.489688732,3434.891
3.47687124,-2.006653171,32.95804312,1.999,2.57,2133.813,1.855004521,1301.078,0.707305428,3.48866149,3434.891
3.47568343,-2.007743447,32.96802959,1.999,2.57,2143.219,1.855004521,1291.672,0.706383096,3.487721114,3434.891
3.474715456,-2.010865107,32.99646813,1.999,2.568,2152.61,1.855004521,1282.281,0.705444283,3.48663931,3434.891
3.473614704,-2.007000958,33.02464047,1.999,2.568,2162.063,1.855004521,1272.828,0.704511659,3.485654925,3434.891
